--SET PAGESIZE 100
--SET LINESIZE 150
DELETE FROM Member;

ALTER SESSION SET NLS_DATE_FORMAT='YYYY-MM-DD';

INSERT INTO Member VALUES ('MEM0000001', 'John', 'Doe', '1995-04-12', '0198765432', 'M', 'johndoe@example.com', '2023-01-15', '2025-01-15');
INSERT INTO Member VALUES ('MEM0000023', 'Samuel', 'Perez', '1995-06-23', '0194321098', 'M', 'samuelp@example.com', '2024-06-06', '2025-06-06');
INSERT INTO Member VALUES ('MEM0000024', 'Scarlett', 'White', '1992-04-06', '0183210987', 'F', 'scarlettw@example.com', '2024-06-07', '2025-06-07');
INSERT INTO Member VALUES ('MEM0000025', 'Michael', 'Harris', '1990-11-12', '0192109876', 'M', 'michaelh@example.com', '2024-06-08', '2025-06-08');
INSERT INTO Member VALUES ('MEM0000026', 'Elijah', 'Clark', '1991-03-22', '0199876543', 'M', 'elijahc@example.com', '2024-06-09', '2025-06-09');
INSERT INTO Member VALUES ('MEM0000027', 'Lily', 'Lewis', '1996-08-14', '0188765432', 'F', 'lilyl@example.com', '2024-07-02', '2025-07-02');
INSERT INTO Member VALUES ('MEM0000028', 'William', 'Walker', '1994-10-05', '0197654321', 'M', 'williamw@example.com', '2024-07-15', '2025-07-15');
INSERT INTO Member VALUES ('MEM0000029', 'Hannah', 'Hall', '1993-02-18', '0186543210', 'F', 'hannahh@example.com', '2024-08-01', '2025-08-01');
INSERT INTO Member VALUES ('MEM0000030', 'Sebastian', 'Allen', '1997-07-12', '0195432109', 'M', 'sebastiana@example.com', '2024-08-12', '2025-08-12');
INSERT INTO Member VALUES ('MEM0000031', 'Zoe', 'Young', '1992-05-27', '0184321098', 'F', 'zoey@example.com', '2024-09-03', '2025-09-03');
INSERT INTO Member VALUES ('MEM0000032', 'Ethan', 'King', '1995-11-09', '0193210987', 'M', 'ethank@example.com', '2024-09-15', '2025-09-15');
INSERT INTO Member VALUES ('MEM0000033', 'Madison', 'Scott', '1996-04-04', '0182109876', 'F', 'madisons@example.com', '2024-10-01', '2025-10-01');
INSERT INTO Member VALUES ('MEM0000034', 'Caleb', 'Green', '1994-09-29', '0191098765', 'M', 'calebg@example.com', '2024-10-10', '2025-10-10');
INSERT INTO Member VALUES ('MEM0000035', 'Aria', 'Baker', '1993-12-07', '0189876543', 'F', 'ariab@example.com', '2024-10-25', '2025-10-25');
INSERT INTO Member VALUES ('MEM0000036', 'Mason', 'Adams', '1990-06-30', '0198765432', 'M', 'masona@example.com', '2024-11-02', '2025-11-02');
INSERT INTO Member VALUES ('MEM0000037', 'Grace', 'Nelson', '1997-10-22', '0187654321', 'F', 'gracen@example.com', '2024-11-18', '2025-11-18');
INSERT INTO Member VALUES ('MEM0000038', 'Nathan', 'Carter', '1995-05-19', '0196543210', 'M', 'nathanc@example.com', '2024-12-01', '2025-12-01');
INSERT INTO Member VALUES ('MEM0000039', 'Chloe', 'Mitchell', '1994-08-11', '0185432109', 'F', 'chloem@example.com', '2024-12-10', '2025-12-10');
INSERT INTO Member VALUES ('MEM0000040', 'Andrew', 'Perez', '1992-01-17', '0194321098', 'M', 'andrewp@example.com', '2024-12-20', '2025-12-20');
INSERT INTO Member VALUES ('MEM0000041', 'Ella', 'Roberts', '1993-06-28', '0183210987', 'F', 'ellar@example.com', '2025-01-02', '2026-01-02');
INSERT INTO Member VALUES ('MEM0000042', 'Lucas', 'Turner', '1990-04-15', '0192109876', 'M', 'lucast@example.com', '2025-01-15', '2026-01-15');
INSERT INTO Member VALUES ('MEM0000043', 'Sophie', 'Phillips', '1996-12-01', '0181098765', 'F', 'sophiep@example.com', '2025-01-28', '2026-01-28');
INSERT INTO Member VALUES ('MEM0000044', 'Jack', 'Campbell', '1997-09-14', '0199988776', 'M', 'jackc@example.com', '2025-02-05', '2026-02-05');
INSERT INTO Member VALUES ('MEM0000045', 'Victoria', 'Evans', '1995-07-09', '0188877665', 'F', 'victoriae@example.com', '2025-02-12', '2026-02-12');
INSERT INTO Member VALUES ('MEM0000046', 'Dylan', 'Edwards', '1993-05-22', '0197766554', 'M', 'dylane@example.com', '2025-02-25', '2026-02-25');
INSERT INTO Member VALUES ('MEM0000047', 'Leah', 'Collins', '1992-10-31', '0186655443', 'F', 'leahc@example.com', '2025-03-03', '2026-03-03');
INSERT INTO Member VALUES ('MEM0000048', 'Isaac', 'Stewart', '1994-09-05', '0195544332', 'M', 'isaacs@example.com', '2025-03-10', '2026-03-10');
INSERT INTO Member VALUES ('MEM0000049', 'Penelope', 'Morris', '1996-08-12', '0184433221', 'F', 'penelopem@example.com', '2025-03-20', '2026-03-20');
INSERT INTO Member VALUES ('MEM0000050', 'Gabriel', 'Rogers', '1990-02-14', '0193322110', 'M', 'gabrielr@example.com', '2025-03-31', '2026-03-31');
